"","scientific_name","Family1","Order1","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Inference","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Range.Size","common_name"
"147","Butorides striata","Ardeidae","Pelecaniformes",69.2,51.8,9.1,11.2,49.7,175.9,53.2,125.5,29.8,63.6,201.5,"NO","Wetland",3,1,"Carnivore","Aquatic predator","Terrestrial",53556698.29,"Striated Heron"
"148","Egretta garzetta","Ardeidae","Pelecaniformes",94.6,68,8.9,11.3,98.8,252.5,82.8,167.2,33.1,94.2,312,"NO","Wetland",3,2,"Carnivore","Aquatic predator","Terrestrial",34141787.35,"Little Egret"
"149","Ixobrychus sinensis","Ardeidae","Pelecaniformes",62.4,43.7,6,8.2,42.4,129.4,39.6,88.4,31,40.8,94.3,"NO","Wetland",1,3,"Carnivore","Aquatic predator","Terrestrial",8593201.95,"Yellow Bittern"
"150","Nycticorax nycticorax","Ardeidae","Pelecaniformes",80.5,56.7,12.1,18.6,69.2,285.7,92.7,187.8,33.1,95.8,810,"NO","Wetland",3,3,"Carnivore","Aquatic predator","Terrestrial",50345275.03,"Black-crowned Night-Heron"
"151","Platalea leucorodia","Threskiornithidae","Pelecaniformes",190.3,172.2,26.3,15.2,129,361.6,146,216,40.4,118.4,1868,"NO","Wetland",3,2,"Carnivore","Aquatic predator","Terrestrial",6276598.58,"Eurasian Spoonbill"
"152","Plegadis falcinellus","Threskiornithidae","Pelecaniformes",117.2,102.8,10.4,13.9,86.4,274.8,104.7,165.3,38.9,102.7,626.6,"NO","Wetland",3,2,"Carnivore","Aquatic predator","Terrestrial",23712479.58,"Glossy Ibis"
"153","Pseudibis papillosa","Threskiornithidae","Pelecaniformes",141.8,124.3,14.1,19,71.2,380.6,139.4,241.8,36.5,199.2,823,"NO","Grassland",3,1,"Carnivore","Omnivore","Terrestrial",1181694.91,"Red-naped Ibis"
"154","Threskiornis melanocephalus","Threskiornithidae","Pelecaniformes",158.1,150.6,16.6,24.6,103.6,349.9,128.6,241.7,34.6,148.2,1303,"NO","Wetland",3,1,"Carnivore","Aquatic predator","Terrestrial",1234030.67,"Black-headed Ibis"
"155","Psilopogon haemacephalus","Megalaimidae","Piciformes",18.6,14.8,9.3,9.4,19.2,80.6,19.8,59.3,25.1,36.1,44.5,"NO","Woodland",2,1,"Omnivore","Frugivore","Insessorial",5975609.97,"Coppersmith Barbet"
"156","Dinopium benghalense","Picidae","Piciformes",36.1,26.6,8.4,8.8,25.2,140.9,29.4,112.3,20.7,94.7,100,"NO","Woodland",2,1,"Carnivore","Invertivore","Insessorial",3000600.76,"Black-rumped Flameback"
"157","Jynx torquilla","Picidae","Piciformes",17.3,9.1,3.7,3.9,19.6,87.4,23.6,63.6,27.1,68.2,35,"NO","Woodland",1,3,"Carnivore","Invertivore","Terrestrial",17649135.86,"Eurasian Wryneck"
"158","Tachybaptus ruficollis","Podicipedidae","Podicipediformes",23.9,11.5,4.4,6.7,35.4,100,31.6,66.6,32.2,29.1,169.4,"NO","Wetland",3,1,"Carnivore","Aquatic predator","Aquatic",36639881.74,"Little Grebe"
"159","Athene brama","Strigidae","Strigiformes",19.7,12.4,7.5,11.3,25.6,153,44.5,108.5,29.2,74.2,112,"NO","Human Modified",2,1,"Carnivore","Invertivore","Insessorial",5213398.06,"Spotted Owlet"
"160","Tyto alba","Tytonidae","Strigiformes",32,17.7,8.5,13.1,59.6,280.2,111.5,168.7,39.7,118.3,403.3,"NO","Human Modified",3,1,"Carnivore","Vertivore","Insessorial",63140525.19,"Barn Owl"
"161","Microcarbo niger","Phalacrocoracidae","Suliformes",34.6,25.8,7.2,11.3,36,196.4,65,129.5,33.3,131.4,427,"NO","Wetland",3,2,"Carnivore","Aquatic predator","Aquatic",3849008.88,"Little Cormorant"
"162","Phalacrocorax carbo","Phalacrocoracidae","Suliformes",82.7,57,13.2,18.3,64.2,340.2,124.2,211.7,37.1,148.2,2529,"NO","Wetland",3,2,"Carnivore","Aquatic predator","Aquatic",24540701.98,"Great Cormorant"
